name,url,sku,group_id,price,in_stock,categories,image_url,keywords
"Chateau de Vine Cream Lipstick in Showoff",https://www.purcosmetics.com/chateau-de-vine,951550300,10644,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-de-vine-lipstick-showoff-cap-off-to-side.jpg,
"Chateau de Vine Cream Lipstick in A-Lister",https://www.purcosmetics.com/chateau-de-vine,951550290,10644,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-de-vine-lipstick-a-lister-cap-off-to-side.jpg,
"Chateau de Vine Cream Lipstick in Debutante",https://www.purcosmetics.com/chateau-de-vine,951550280,10644,18,false,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-de-vine-lipstick-debutante-cap-off-to-side.jpg,
"Chateau de Vine Cream Lipstick in Shopaholic",https://www.purcosmetics.com/chateau-de-vine,951550270,10644,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-de-vine-lipstick-shopaholic-cap-off-to-side.jpg,
"Chateau Kisses Lip Gloss in Glitzy",https://www.purcosmetics.com/chateau-kisses-in-glitzy,951551330,951551330,18.0000,false,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-kisses-lip-gloss-glitzy-cap-on-appl-to-side.jpg,
"Chateau Kisses Lip Gloss in Spoiled",https://www.purcosmetics.com/chateau-kisses,951551310,10708,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-kisses-lip-gloss-spoiled-cap-on-appl-to-side.jpg,
"Chateau Kisses Lip Gloss in Lovestruck",https://www.purcosmetics.com/chateau-kisses,951551300,10708,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-kisses-lip-gloss-lovestruck-cap-on-appl-to-side.jpg,
"Chateau Kisses Lip Gloss in Tickled",https://www.purcosmetics.com/chateau-kisses,951551290,10708,18,true,"Pur Category|Makeup|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-kisses-lip-gloss-tickled-cap-on-appl-to-side.jpg,
"Chateau Kisses Lip Gloss in Foxy",https://www.purcosmetics.com/chateau-kisses,951551280,10708,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-kisses-lip-gloss-foxy-cap-on-appl-to-side.jpg,
"Chateau Kisses Lip Gloss in Bossy",https://www.purcosmetics.com/chateau-kisses,951551270,10708,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-kisses-lip-gloss-bossy-cap-on-appl-to-side.jpg,
"Chateau Kisses Lip Gloss in Scandalous",https://www.purcosmetics.com/chateau-kisses,951551260,10708,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-kisses-lip-gloss-scandalous-cap-on-appl-to-side.jpg,
"Chisel Brush",https://www.purcosmetics.com/old-chisel-brush,951662010,951662010,23.0000,true,"Pur Category|Makeup|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chisel-makeup-brush.jpg,
"Correcting Primer Hydrate & Balance",https://www.purcosmetics.com/color-correcting-primer-lavender,951171010,951171010,33.0000,true,"Pur Category|Face|Primer|Shop All|Vegan|Gluten-Free|Sale |Vegan",https://www.purcosmetics.com/media/catalog/product/c/o/color-correcting-primer-hydrate-and-balance-cap-on.jpg,
"Correcting Primer Illuminate & Glow",https://www.purcosmetics.com/color-correcting-primer-illuminate-glow,951154110,951154110,33.0000,true,"Pur Category|Face|Primer|Shop All|Vegan|Gluten-Free|Sale |Vegan",https://www.purcosmetics.com/media/catalog/product/c/o/color-correcting-primer-illuminate-and-glow-cap-on.jpg,
"Correcting Primer Redness Reducer",https://www.purcosmetics.com/color-correcting-primer-green,951153110,951153110,33.0000,true,"Pur Category|Face|Primer|Shop All|Vegan|Gluten-Free|Sale |Vegan",https://www.purcosmetics.com/media/catalog/product/c/o/color-correcting-primer-redness-reducer-cap-on.jpg,
"Correcting Primer Dark Spot Corrector",https://www.purcosmetics.com/color-correcting-primer-peach,951152110,951152110,33.0000,false,"Pur Category|Face|Primer|Shop All|Vegan|Gluten-Free|Sale |Vegan",https://www.purcosmetics.com/media/catalog/product/c/o/color-correcting-primer-color-balancer-cap-on.jpg,
"Correcting Primer Prep & Perfect",https://www.purcosmetics.com/color-correcting-primer-neutral,951151110,951151110,33.0000,true,"Pur Category|Face|Primer|Shop All|Vegan|Gluten-Free|Sale |Vegan",https://www.purcosmetics.com/media/catalog/product/c/o/color-correcting-primer-prep-and-perfect-cap-on.jpg,
"Dirty Girl Detoxifying Mudd Masque",https://www.purcosmetics.com/dirty-girl,951116110,951116110,29.0000,true,"Pur Category|Skincare|Best Sellers|Masks|Gluten Free|Shop All|Shop All|Gluten-Free",https://www.purcosmetics.com/media/catalog/product/d/i/dirty-girl-capon-4oz-1200x1200.jpg,
"Dirty Girl Mud Mask Mini",https://www.purcosmetics.com/dirty-girl-mini,851116130,851116130,10.0000,true,"Pur Category|Gluten Free|Shop All|Minis",https://www.purcosmetics.com/media/catalog/product/m/u/mudd-masque.jpg,
"Disappearing Act Concealer in Dark",https://www.purcosmetics.com/disappearing-act,951167040,10964,24,true,"Pur Category|Makeup|Face|Shop All",https://www.purcosmetics.com/media/catalog/product/d/i/disappearing-act-concealer-dark-open.jpg,
"Disappearing Act Concealer in Tan",https://www.purcosmetics.com/disappearing-act,951167030,10964,24,true,"Pur Category|Makeup|Face|Shop All",https://www.purcosmetics.com/media/catalog/product/d/i/disappearing-act-concealer-tan-open.jpg,
"Disappearing Act Concealer in Medium",https://www.purcosmetics.com/disappearing-act,951167020,10964,24,true,"Pur Category|Makeup|Face|Shop All",https://www.purcosmetics.com/media/catalog/product/d/i/disappearing-act-concealer-medium-open.jpg,
"Disappearing Act Concealer in Light",https://www.purcosmetics.com/disappearing-act,951167010,10964,24,true,"Pur Category|Makeup|Face|Shop All",https://www.purcosmetics.com/media/catalog/product/d/i/disappearing-act-concealer-light-open.jpg,
"Disappearing Ink 4-in-1 Concealer Pen in Dark",https://www.purcosmetics.com/disappearing-ink,951240040,11028,24,true,"Pur Category|Makeup|Face|Shop All|4-in-1",https://www.purcosmetics.com/media/catalog/product/d/i/disappearing-ink-concealer-dark-cap-off-to-side.jpg,
"Disappearing Ink 4-in-1 Concealer Pen in Tan",https://www.purcosmetics.com/disappearing-ink,951240030,11028,24,true,"Pur Category|Makeup|Face|Shop All|4-in-1",https://www.purcosmetics.com/media/catalog/product/d/i/disappearing-ink-concealer-tan-cap-off-to-side.jpg,
"Disappearing Ink 4-in-1 Concealer Pen in Medium",https://www.purcosmetics.com/disappearing-ink,951240020,11028,24,true,"Pur Category|Makeup|Face|Shop All|4-in-1",https://www.purcosmetics.com/media/catalog/product/d/i/disappearing-ink-concealer-medium-cap-off-to-side.jpg,
"Disappearing Ink 4-in-1 Concealer Pen in Light",https://www.purcosmetics.com/disappearing-ink,951240010,11028,24,true,"Pur Category|Makeup|Face|Shop All|4-in-1",https://www.purcosmetics.com/media/catalog/product/d/i/disappearing-ink-concealer-light-cap-off-to-side.jpg,
"Eye Pencil with Smudger in Polished Stone",https://www.purcosmetics.com/eye-pencil-with-smudger,951444050,11156,17,true,"Pur Category|Eyes|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/m/i/mineral-eye-defining-pencil-with-smudger-polished-stone-cap-off.jpg,
"Eye Pencil with Smudger in Hidden Treasure",https://www.purcosmetics.com/eye-pencil-with-smudger,951443100,11156,17,false,"Pur Category|Eyes|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/m/i/mineral-eye-defining-pencil-with-smudger-hidden-treasure-cap-off.jpg,
"Eye Pencil with Smudger in Peridot",https://www.purcosmetics.com/eye-pencil-with-smudger,951443060,11156,17,true,"Pur Category|Eyes|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/m/i/mineral-eye-defining-pencil-with-smudger-peridot-cap-off.jpg,
"Eye Polish in Cashmere",https://www.purcosmetics.com/eye-polish,951435060,11220,26,true,"Pur Category|Makeup|Eyes|Eyeshadow|Shop All",https://www.purcosmetics.com/media/catalog/product/e/y/eye-polish-cashmere-cap-off.jpg,
"Eye Polish in Caviar",https://www.purcosmetics.com/eye-polish,951435050,11220,26,true,"Pur Category|Makeup|Eyes|Eyeshadow|Shop All",https://www.purcosmetics.com/media/catalog/product/e/y/eye-polish-caviar-cap-off.jpg,
"Eye Polish in Velvet",https://www.purcosmetics.com/eye-polish,951435040,11220,26,true,"Pur Category|Makeup|Eyes|Eyeshadow|Shop All",https://www.purcosmetics.com/media/catalog/product/e/y/eye-polish-velvet-cap-off.jpg,
"Eye Polish in Satin",https://www.purcosmetics.com/eye-polish,951435030,11220,26,true,"Pur Category|Makeup|Eyes|Eyeshadow|Shop All",https://www.purcosmetics.com/media/catalog/product/e/y/eye-polish-satin-cap-off.jpg,
"Eye Polish in Suede",https://www.purcosmetics.com/eye-polish,951435020,11220,26,true,"Pur Category|Makeup|Eyes|Eyeshadow|Shop All",https://www.purcosmetics.com/media/catalog/product/e/y/eye-polish-suede-cap-off.jpg,
"Eye Polish in Silk",https://www.purcosmetics.com/eye-polish,951435010,11220,26,true,"Pur Category|Makeup|Eyes|Eyeshadow|Shop All",https://www.purcosmetics.com/media/catalog/product/e/y/eye-polish-silk-cap-off.jpg,
"Eyeshadow Makeup Brush",https://www.purcosmetics.com/eye-shadow-brush,951665010,951665010,16.0000,true,"Pur Category|Brushes & Tools|Gifts under $50|Shop All|Gluten-Free|Sale ",https://www.purcosmetics.com/media/catalog/product/e/y/eye-shadow-makeup-brush-1000x1000.jpg,
"Eyeliner Makeup Brush",https://www.purcosmetics.com/eyeliner-brush,951667010,951667010,13.0000,true,"Pur Category|Brushes & Tools|Gifts under $50|Shop All|Gluten-Free|Sale ",https://www.purcosmetics.com/media/catalog/product/e/y/eye-liner-makeup-brush-1000x1000.jpg,
"Get A Lift Age-Defying Moisturizer",https://www.purcosmetics.com/get-a-lift,951173010,951173010,39.0000,true,"Pur Category|Skincare|Moisturizers|Vegan|Shop All|Shop All|Vegan|Gluten-Free|Vegan",https://www.purcosmetics.com/media/catalog/product/g/e/get-a-lift-cap-off-to-side.jpg,
"Get Bright Spot Brightening Serum",https://www.purcosmetics.com/get-bright,951175110,951175110,34.0000,true,"Pur Category|Skincare|Serums|Shop All|Shop All|Vegan|Sale |Vegan",https://www.purcosmetics.com/media/catalog/product/g/e/get-bright-cap-on.jpg,
